geometry;name;indexOfID;id
POINT(7185113.18949127 677371.071627721);Estacao Urbano Lopes;0;1
POINT(7185409.54140188 677168.626685411);Estacao Jardim Botanico;1;2
POINT(7185711.50724998 675368.293603806);Estacao Rodoferroviaria;2;3
POINT(7185709.33972237 674947.998678925);Estação Mariano Torres;3;4
POINT(7181663.31973182 671512.819255941);Estacao Carlos Dietzsch;4;5
POINT(7182215.32798257 671645.126643739);Estacao Morretes;5;6
POINT(7182542.47021279 671841.742122354);Estacao Vital Brasil;6;7
POINT(7182925.13663348 671993.398595554);Estacao Sebastiao Parana;7;8
POINT(7184339.38975034 672199.209496988);Estacao Silva Jardim;8;9
POINT(7184742.95323186 672487.408476155);Estação Bento Viana - Sta Candida/Capão Raso - Pinheirinho;9;10
POINT(7186352.95309257 674277.106058557);Estação Central - Santa Candida/Capão Raso;10;11
POINT(7185504.36110456 674356.779916354);Estacao Praca Eufrasio Correia;11;12
POINT(7174642.16288748 673430.684158493);null;12;13
POINT(7174778.70682533 672603.807843791);null;13;14
POINT(7175204.50631733 672098.734147799);null;14;15
POINT(7175517.45514122 671725.949914799);null;15;16
POINT(7185137.52994451 673450.843193118);Estacao Osvaldo Cruz;16;17
POINT(7185451.1367875 677644.819270374);null;17;18
POINT(7188692.54225963 673902.287101178);Linha Turismo - Bosque do Papa;18;19
POINT(7188680.40079916 674405.477480253);Linha Turismo - Museu Oscar Niemeyer;19;20
POINT(7188902.88472775 672491.074251996);Linha Turismo - Bosque Alemão;20;21
POINT(7189208.22818488 672207.024969157);Linha Turismo - Bosque Alemão;21;22
POINT(7191289.21400691 673567.798500505);Linha Turismo - Ópera de Arame;22;23
POINT(7192084.58037198 673015.021228696);Linha Turismo - Parque Tanguá;23;24
POINT(7187164.83052668 670408.575326084);Linha Turismo - Parque Barigui;24;25
POINT(7187078.17592955 671565.169954811);Torre Panorâmica;25;26
POINT(7189450.98412856 670476.197298512);Linha Turismo - Memorial Ucraniano;26;27
POINT(7182067.44709101 671144.223594283);São Jorge;27;28
POINT(7182068.76582373 670906.448022671);Interbairros II;28;29
POINT(7182105.32565353 671001.860708109);São Jorge;29;30
POINT(7182239.11008608 671012.197376695);Interbairros II;30;31
POINT(7183167.18115683 670724.910553689);Estação Santa Quitéria;31;32
POINT(7186686.26956652 675826.654993172);null;32;33
