geometry;name;indexOfID;id
POINT(7186192.02985547 675623.388330432);Novo mobiliário;0;1
POINT(7191414.13472356 675581.634777455);Sem demarcação;1;2
POINT(7182577.78700189 672595.976409381);Chapéu chinês;2;3
POINT(7179970.84975669 672547.173529948);Chapéu chinês;3;4
POINT(7189213.59622026 671915.058863557);Placa em cano;4;5
POINT(7176253.6493473 676097.61456387);Chapéu chinês;5;6
POINT(7172312.89908433 674093.118610672);Chapéu chinês;6;7
POINT(7184114.92573804 676445.317969331);Novo mobiliário;7;8
POINT(7182394.95034997 677381.536275258);Chapéu chinês;8;9
POINT(7178693.16444812 671307.568251868);Estação tubo;9;10
POINT(7188884.77063761 670054.706025794);Sem demarcação;10;11
POINT(7189687.47255118 675732.483596571);Novo mobiliário;11;12
POINT(7193921.00860909 674828.145133015);Novo mobiliário;12;13
POINT(7177454.55863399 670448.930531794);Domus;13;14
POINT(7191289.98008117 668874.659688346);Chapéu chinês;14;15
POINT(7174833.29112246 667718.495212238);Chapéu chinês;15;16
POINT(7192000.78872499 664657.870370979);Chapéu chinês;16;17
POINT(7192526.26806056 672982.140692962);Chapéu chinês;17;18
POINT(7172468.18112275 675299.459618223);Placa em cano;18;19
POINT(7185713.08057752 675991.755924991);Especial Madrugueiro;19;20
POINT(7187069.41639476 671132.559372192);Chapéu chinês;20;21
POINT(7189194.5821651 668311.670026135);Novo mobiliário;21;22
POINT(7188589.87380358 678670.12463684);Novo mobiliário;22;23
POINT(7184923.61242322 675262.459284531);Novo mobiliário;23;24
POINT(7185154.15942753 666299.744267409);Plataforma;24;25
POINT(7184991.55197442 677957.737557338);Estação tubo;25;26
POINT(7178256.84102524 668796.223916144);Chapéu chinês;26;27
POINT(7182920.59497418 667919.844128389);Chapéu chinês;27;28
POINT(7193440.9855157 680599.453300473);Chapéu chinês;28;29
POINT(7188869.06507176 669726.064949791);Chapéu chinês;29;30
POINT(7179373.13984941 679495.480215002);Novo mobiliário;30;31
POINT(7176412.89745505 675371.876512028);Novo mobiliário;31;32
POINT(7187679.5294401 664696.674187768);Chapéu chinês;32;33
POINT(7183521.56180228 677936.353803868);Novo mobiliário;33;34
POINT(7192014.74516433 675649.473505281);Chapéu chinês;34;35
POINT(7175289.06174211 666986.157620718);Sem demarcação;35;36
POINT(7188921.6476033 675815.140201908);Plataforma;36;37
POINT(7186807.27338606 675537.437229484);Novo mobiliário;37;38
POINT(7187161.61479458 670429.31758964);Novo mobiliário;38;39
POINT(7170565.17409604 668047.639459402);Placa em poste;39;40
POINT(7191323.59418894 664759.031158848);Sem demarcação;40;41
POINT(7179510.78221074 679621.948140195);Chapéu chinês;41;42
POINT(7181792.43075638 673383.48388215);Chapéu chinês;42;43
POINT(7179287.00191254 670295.232415379);Domus;43;44
POINT(7187831.5701592 678661.765057903);Novo mobiliário;44;45
POINT(7178843.70861777 665660.098857788);Placa em cano;45;46
POINT(7171607.46222978 674152.342180396);Sem demarcação;46;47
POINT(7184130.63142059 665254.576842736);Novo mobiliário;47;48
POINT(7185974.08461007 673805.148675432);Novo mobiliário;48;49
POINT(7188109.55613526 674693.759128935);Novo mobiliário;49;50
POINT(7187757.97861587 666814.648780109);Chapéu chinês;50;51
POINT(7182547.98863287 671835.506043767);Estação tubo;51;52
POINT(7188137.75456969 680315.384609774);Sem demarcação;52;53
POINT(7179003.36845917 668334.922340212);Novo mobiliário;53;54
POINT(7172678.64161452 668235.342876448);Domus;54;55
POINT(7188967.31717668 680153.113107689);Sem demarcação;55;56
POINT(7182427.07185058 673938.116765828);Chapéu chinês;56;57
POINT(7188530.2971267 679142.458534722);Chapéu chinês;57;58
POINT(7182148.86076326 666572.783233365);Novo mobiliário;58;59
POINT(7187416.0991064 681038.113902449);Chapéu chinês;59;60
POINT(7190486.09160374 666858.249615135);Chapéu chinês;60;61
POINT(7187350.8849548 667703.356277917);Chapéu chinês;61;62
POINT(7186547.3516181 673821.548342332);Estação tubo;62;63
POINT(7191042.55491766 668215.557827884);Chapéu chinês;63;64
POINT(7190495.7565829 671473.132251878);Novo mobiliário;64;65
POINT(7190024.99604011 671438.46425024);Chapéu chinês;65;66
POINT(7190343.9103762 665417.590504681);Chapéu chinês;66;67
POINT(7181187.6231598 668512.81623133);Novo mobiliário;67;68
POINT(7179689.56003841 669796.868223625);Sem demarcação;68;69
POINT(7186776.89092514 667668.628998902);Placa em cano;69;70
POINT(7185648.18175765 670390.429325507);Novo mobiliário;70;71
POINT(7185089.11416079 680349.320151627);Novo mobiliário;71;72
POINT(7188951.84282138 675825.521179495);Plataforma;72;73
POINT(7173317.42915373 673773.004405978);Domus;73;74
POINT(7185732.44330591 673856.707650669);Novo mobiliário;74;75
POINT(7190046.95310962 671484.763450738);Placa em cano;75;76
POINT(7193274.67084784 668465.324497149);Placa em poste;76;77
POINT(7192861.13171457 674360.297139544);Chapéu chinês;77;78
POINT(7186652.85927341 674554.135411213);Estação tubo;78;79
POINT(7186077.98462164 672359.342997989);Novo mobiliário;79;80
POINT(7171248.49610329 674451.820692436);Sem demarcação;80;81
POINT(7177726.58909041 674173.741828426);Chapéu chinês;81;82
POINT(7173041.68608995 671566.122568342);Novo mobiliário;82;83
POINT(7166828.83431371 667614.811426552);Domus;83;84
POINT(7181533.01036037 667799.549396749);Chapéu chinês;84;85
POINT(7181565.08975852 663408.783350022);Placa em poste;85;86
POINT(7180138.53512861 666505.434413048);Chapéu chinês;86;87
POINT(7192430.24321888 676170.792880622);Chapéu chinês;87;88
POINT(7185700.86476426 666895.708622512);Chapéu chinês;88;89
POINT(7184327.56109069 675209.409462239);Estação tubo;89;90
