geometry;name;indexOfID;id
MULTIPOLYGON(((7168359.34414964 659891.293362767,7168392.89002432 659953.9098573,7168336.06219427 659974.916340412,7168307.7324497 659919.826666624,7168359.34414964 659891.293362767)));Praça Doutor Vicente Machado;0;5
MULTIPOLYGON(((7168664.61232639 659675.933858037,7168689.81105988 659715.06383305,7168666.34281713 659731.187646915,7168644.58649817 659685.830257995,7168664.61232639 659675.933858037)));Supermercado Condor;1;7
MULTIPOLYGON(((7168976.79013595 659945.700409661,7168998.13083305 659970.248518458,7168986.76657306 659973.789017696,7168990.43081046 659980.463560197,7168966.37378695 659954.255341934,7168976.79013595 659945.700409661)));Restaurante Hotel San Gabriel;2;8
MULTIPOLYGON(((7168138.30483844 660185.338264436,7168161.78588696 660187.549424272,7168201.97250016 660236.744345697,7168164.21387561 660264.749517833,7168136.31387284 660231.132554231,7168129.06725195 660235.867291267,7168107.83300428 660206.198219987,7168138.30483844 660185.338264436)));Havan;3;10
MULTIPOLYGON(((7169034.40790564 660659.250023508,7169066.25513476 660679.646415959,7169036.51826689 660720.337253693,7169007.32207446 660698.747119359,7169034.40790564 660659.250023508)));Shopping Araucenter;4;12
MULTIPOLYGON(((7169483.01901319 659925.715809954,7169525.18440879 659985.507305438,7169489.05366714 660015.474766487,7169445.62798521 659955.477306305,7169483.01901319 659925.715809954)));Fórum da Justiça do Trabalho;5;13
MULTIPOLYGON(((7169445.62798521 659955.477306305,7169489.05366714 660015.474766487,7169451.04699378 660043.902491829,7169405.09919815 659987.300702513,7169445.62798521 659955.477306305)));Fórum do Juizado Especial Civel e Criminal;6;14
MULTIPOLYGON(((7169327.56040523 660871.904229344,7169370.32036386 660904.137621211,7169312.07481969 660982.772210374,7169270.34009369 660951.887252669,7169327.56040523 660871.904229344)));Balaroti Materiais para Construção;7;15
MULTIPOLYGON(((7169785.68121511 661132.516151751,7169813.13186431 661146.331049557,7169786.48224642 661200.945591702,7169757.20036514 661186.495591323,7169785.68121511 661132.516151751)));Raksa Materiais de Construção;8;26
MULTIPOLYGON(((7169821.84892016 661137.283643476,7169851.34929559 661145.577420464,7169921.07216308 661230.072157917,7169842.14108403 661295.055859099,7169826.42419375 661303.968237708,7169822.24309544 661301.606830273,7169801.95374784 661290.148867378,7169774.53436488 661274.676303342,7169832.35208248 661155.515293295,7169821.84892016 661137.283643476)));Praça Seminário;9;27
MULTIPOLYGON(((7169817.86718542 661252.172947288,7169841.13944771 661265.224237081,7169822.24309544 661301.606830273,7169801.95374784 661290.148867378,7169817.86718542 661252.172947288)));Teatro da Praça;10;28
MULTIPOLYGON(((7171798.75151936 659850.217419476,7171811.53198673 659865.302499401,7171792.59348105 659881.534790795,7171779.81303205 659866.449714153,7171798.75151936 659850.217419476)));Posto Araucária;11;30
MULTIPOLYGON(((7173086.72051479 660360.982246468,7173122.88357061 660466.604051946,7173149.22644499 660471.26213681,7173173.19532287 660513.044559155,7173161.87938915 660535.590092422,7173040.49916136 660653.305550937,7172887.83969636 660499.000571736,7172897.28049629 660472.091665841,7172892.58880075 660463.352696508,7172961.17134305 660386.978606765,7173025.08101847 660379.546402012,7173086.72051479 660360.982246468)));Araucária Acqua Park;12;32
MULTIPOLYGON(((7165195.45102352 665120.527420892,7165257.53355618 665143.785967462,7165354.05585611 665212.780072049,7165442.54264915 665250.830443311,7165159.18422421 665854.072486797,7165089.16339194 665854.495170537,7164999.25413289 665868.459752913,7164952.53192274 665883.92683519,7164928.1505489 665884.637194593,7165195.45102352 665120.527420892)));Vila Primeiro de Setembro;13;36
