geometry;name;indexOfID;id
MULTIPOLYGON(((7183228.47021484 678119.910217285,7183152.82019043 678085.080200195,7183186.38018799 678010.750183105,7183261.77020264 678044.390197754,7183228.47021484 678119.910217285)));MAESTRO BENTO MOSSORUNGA;0;1
MULTIPOLYGON(((7189070.26300049 679854.859985352,7189076.82678223 679883.880187988,7189064.30023193 679885.180236816,7189057.23480225 679856.041625977,7189070.26300049 679854.859985352)));LÉO ALCEU HATSCHBACH;1;2
MULTIPOLYGON(((7192988.28399658 674127.711791992,7192946.5234375 674067.158813477,7192965.56201172 674042.776184082,7193015.03222656 674109.388427734,7192988.28399658 674127.711791992)));ACIR MACEDO GUIMARÃES;2;3
MULTIPOLYGON(((7191919.42700195 674014.359008789,7191972.53063965 673920.030639648,7191986.88879395 673898.728393555,7191986.71099854 673913.13104248,7191992.22320557 673924.599609375,7191996.84619141 673938.113220215,7192004.51861572 673955.6171875,7192014.40838623 673965.052001953,7192013.17041016 673966.850402832,7192009.0604248 673976.430419922,7192002.80041504 673983.790405273,7192000.00042725 673987.150390625,7191997.45043945 673990.200439453,7191994.10040283 673996.340393066,7191992.21038818 674000.000427246,7191991.69042969 674000.980407715,7191987.17041016 674009.020385742,7191983.32043457 674015.420410156,7191979.27038574 674020.700439453,7191976.84039307 674027.660400391,7191975.65039062 674029.900390625,7191970.99761963 674039.379638672,7191919.42700195 674014.359008789)));ESTEVÃO MUSSAK;3;4
MULTIPOLYGON(((7176644.62042236 675957.480407715,7176643.86700439 675995.546813965,7176712.02020264 676070.791381836,7176666.85040283 676092.750427246,7176641.94042969 676062.540405273,7176579.71038818 675983.440429688,7176644.62042236 675957.480407715)));AMARO BERNARDO VELLOSO;4;5
MULTIPOLYGON(((7191327.25018311 681162.690185547,7191331.59020996 681186.120239258,7191316.09020996 681189.260192871,7191310.89019775 681165.430236816,7191327.25018311 681162.690185547)));JOÃO TATAREN;5;6
MULTIPOLYGON(((7190269.0602417 680505.300231934,7190145.5802002 680558.040222168,7190107.40020752 680466.15020752,7190234.11022949 680412.870239258,7190270.70019531 680496.07019043,7190269.0602417 680505.300231934)));PEDRO DE ALMEIDA;6;7
MULTIPOLYGON(((7190299.14019775 673602.130187988,7190293.5602417 673640.860229492,7190291.64019775 673647.540222168,7190288.7802124 673653.610229492,7190286.32019043 673657.980224609,7190283.55023193 673661.850219727,7190280.3102417 673665.280212402,7190276.7802124 673668.120239258,7190272.61022949 673670.740234375,7190267.69018555 673672.770202637,7190225.70019531 673684.160217285,7190299.14019775 673602.130187988)));FLORINDA GUSSO BOZZA;7;8
MULTIPOLYGON(((7190139.75018311 669279.600219727,7190094.49023438 669273.710205078,7190092.86022949 669265.350219727,7190136.26019287 669247.066833496,7190139.75018311 669279.600219727)));null;8;9
MULTIPOLYGON(((7177321.65020752 676315.120239258,7177345.34020996 676372.630187988,7177328.86022949 676379.280212402,7177304.54022217 676322.670227051,7177321.65020752 676315.120239258)));DOUTOR LUISNEI RODRIGUES DA SILVA;9;10
MULTIPOLYGON(((7179250.93023682 674622.280212402,7179210.0802002 674627.860229492,7179200.80023193 674556.680236816,7179199.23022461 674541.270202637,7179197.89019775 674521.270202637,7179196.01019287 674500.000183105,7179199.66021729 674499.720214844,7179250.93023682 674622.280212402)));ZENILDA FANINI SCHIER;10;11
MULTIPOLYGON(((7178951.60021973 674053.600219727,7178949.40020752 674060.200195312,7178923.20019531 674075.200195312,7178922.30023193 674073.600219727,7178946.90020752 674034.40020752,7178948.50018311 674034.800231934,7178951.60021973 674053.600219727)));PADRE MÁRIO TÉSIO;11;12
MULTIPOLYGON(((7176834.74023438 673372.960205078,7176755.27020264 673313.030212402,7176817.74023438 673231.080200195,7176895.11022949 673292.750183105,7176834.74023438 673372.960205078)));NELSON SATENARSKI MONTEIRO;12;13
MULTIPOLYGON(((7173659.65722656 671707.434997559,7173663.82800293 671700.245605469,7173667.12078857 671693.166015625,7173670.49078369 671685.170837402,7173671.73083496 671680.982421875,7173672.9407959 671681.04083252,7173674.96881104 671684.385009766,7173676.50543213 671688.994995117,7173677.4934082 671693.549987793,7173678.63684082 671706.682006836,7173659.65722656 671707.434997559)));ANTÔNIO LINO DECONTO;13;14
MULTIPOLYGON(((7192341.89801025 679323.925231934,7192335.17980957 679302.243225098,7192384.3302002 679334.298217773,7192378.87078857 679343.270019531,7192346.66241455 679322.429199219,7192341.89801025 679323.925231934)));null;14;15
MULTIPOLYGON(((7181685.47021484 678628.040222168,7181717.47021484 678678.300231934,7181635.19018555 678733.560241699,7181601.34020996 678684.690185547,7181685.47021484 678628.040222168)));LAFAYETTE QUEIROLO;15;16
MULTIPOLYGON(((7178956.0802002 678513.890197754,7178924.18023682 678496.290222168,7178992.88018799 678444.190185547,7178994.98022461 678446.090209961,7178956.0802002 678513.890197754)));null;16;17
MULTIPOLYGON(((7175718.30023193 675791.65020752,7175695.35021973 675773.050231934,7175741.51019287 675702.300231934,7175780.05023193 675660.15020752,7175791.20019531 675688.270202637,7175756.82019043 675727.830200195,7175718.30023193 675791.65020752)));MAESTRO FERNANDO ALVES;17;18
MULTIPOLYGON(((7192441.31738281 678827.926391602,7192433.74023438 678853.463623047,7192431.9932251 678846.51361084,7192428.59564209 678838.820617676,7192424.40618896 678832.309631348,7192419.66558838 678826.866821289,7192416.21502686 678823.737426758,7192441.31738281 678827.926391602)));HEDWIRGES NADOLNY;18;19
MULTIPOLYGON(((7192920.4274292 679790.683227539,7192947.97399902 679774.100585938,7192975.7789917 679820.075439453,7192952.09320068 679836.883239746,7192945.14581299 679841.567016602,7192910.90838623 679782.010620117,7192899.65441895 679769.909423828,7192912.29821777 679774.749633789,7192921.03759766 679780.281433105,7192920.4274292 679790.683227539)));null;19;20
MULTIPOLYGON(((7183613.24023438 663064.860229492,7183578.42022705 663062.910217285,7183559.3302002 663061.510192871,7183565.82019043 662983.90020752,7183617.60021973 662989.080200195,7183613.24023438 663064.860229492)));JOSÉ FRESSATO;20;21
MULTIPOLYGON(((7177187.26019287 668702.410217285,7177174.69018555 668740.190185547,7177156.32019043 668734.410217285,7177168.27020264 668696.340209961,7177187.26019287 668702.410217285)));CHAIM LEIB BOIKO;21;22
MULTIPOLYGON(((7177485.52020264 668746.080200195,7177483.42022705 668745.330200195,7177473.54022217 668742.120239258,7177459.8302002 668737.850219727,7177449.41021729 668734.590209961,7177447.21020508 668733.760192871,7177453.35021973 668715.210205078,7177483.44018555 668724.740234375,7177489.35021973 668726.390197754,7177491.19018555 668727.240234375,7177485.52020264 668746.080200195)));null;22;23
MULTIPOLYGON(((7177766.65020752 668776.590209961,7177754.48022461 668814.550231934,7177735.90020752 668808.420227051,7177748.17022705 668770.550231934,7177766.65020752 668776.590209961)));ANNA MEYER FRUET;23;24
MULTIPOLYGON(((7177678.95019531 668969.07019043,7177517.45019531 669031.520202637,7177551.45019531 668927.780212402,7177678.95019531 668969.07019043)));PROFESSOR JORGE VISCA;24;25
MULTIPOLYGON(((7177164.73022461 668185.740234375,7177139.05023193 668215.610229492,7177119.98022461 668198.310241699,7177146.18023682 668169.220214844,7177164.73022461 668185.740234375)));8 DE MARÇO;25;26
MULTIPOLYGON(((7177126.27020264 668223.000183105,7177099.46020508 668253.630187988,7177083.01019287 668238.670227051,7177109.77020264 668208.200195312,7177126.27020264 668223.000183105)));HUMBERTO BERTOLDI;26;27
MULTIPOLYGON(((7178080.89501953 668447.405395508,7178061.5 668508.635437012,7178055.67462158 668527.103210449,7177967.49121094 668499.281799316,7177966.49743652 668498.908203125,7177965.57940674 668498.444213867,7177964.71679688 668497.883789062,7177963.9197998 668497.233642578,7177963.19799805 668496.501037598,7177962.5592041 668495.694824219,7177962.01141357 668494.82421875,7177961.56079102 668493.899597168,7177961.20159912 668492.900390625,7177957.00201416 668478.888183594,7177956.28820801 668476.876037598,7177955.3536377 668474.8828125,7177954.22802734 668472.990600586,7177952.92242432 668471.218200684,7177951.44921875 668469.582397461,7177949.82263184 668468.098999023,7177948.05841064 668466.781982422,7177946.17358398 668465.644592285,7177944.18640137 668464.697631836,7177942.11560059 668463.950012207,7177953.63000488 668427.406982422,7177959.42242432 668409.044189453,7178001.10144043 668422.206604004,7178039.88220215 668434.453613281,7178060.5355835 668440.976013184,7178062.06140137 668441.457824707,7178080.89501953 668447.405395508)));ENOCH ARAÚJO RAMOS;27;28
MULTIPOLYGON(((7178326.84020996 671861.250183105,7178325.17022705 671819.800231934,7178323.0802002 671804.060241699,7178307.75018311 671712.110229492,7178303.3102417 671683.700195312,7178298.86022949 671655.300231934,7178296.34020996 671639.160217285,7178297.44018555 671640.600219727,7178308.39019775 671659.110229492,7178324.97021484 671676.470214844,7178344.40020752 671691.560241699,7178363.94018555 671709.800231934,7178374.29022217 671794.590209961,7178373.22021484 671808.790222168,7178366.96020508 671822.140197754,7178360.65020752 671833.020202637,7178354.65020752 671843.450195312,7178349.5602417 671850.440185547,7178346.44018555 671854.210205078,7178335.93023682 671863.750183105,7178332.5802002 671866.380187988,7178329.14019775 671865.490234375,7178327.39019775 671864.040222168,7178326.84020996 671861.250183105)));ELBA DE PÁDUA LIMA;28;29
MULTIPOLYGON(((7179748.25018311 670532.220214844,7179746.67022705 670533.420227051,7179735.73022461 670533.340209961,7179735.54022217 670515.970214844,7179748.24023438 670515.720214844,7179748.25018311 670532.220214844)));PROFESSORA IÉZA ALMEIDA BRONHOLO;29;30
MULTIPOLYGON(((7179662.23022461 671232.170227051,7179662.34020996 671211.580200195,7179678.30023193 671212.280212402,7179694.21020508 671232.630187988,7179662.23022461 671232.170227051)));null;30;31
MULTIPOLYGON(((7175000.00018311 675805.620239258,7174955.75018311 675821.640197754,7174944.09020996 675788.470214844,7175000.00018311 675769.270202637,7175029.35021973 675759.030212402,7175039.65020752 675791.260192871,7175000.00018311 675805.620239258)));CLÁUDIO MANOEL DE LOYOLA E SILVA;31;32
MULTIPOLYGON(((7181196.52020264 678531.280212402,7181195.90020752 678562.680236816,7181179.45019531 678562.230224609,7181173.74023438 678547.710205078,7181172.22021484 678544.660217285,7181170.00018311 678541.490234375,7181165.60021973 678538.740234375,7181160.64019775 678536.110229492,7181155.3302002 678533.760192871,7181196.52020264 678531.280212402)));null;32;33
MULTIPOLYGON(((7185863.04022217 667317.410217285,7185888.24023438 667247.100219727,7185909.5802002 667256.060241699,7185926.97021484 667343.100219727,7185863.04022217 667317.410217285)));OCTÁVIO SYLVIO NICCO;33;34
MULTIPOLYGON(((7190434.59161377 673648.942626953,7190427.23022461 673635.910217285,7190459.8302002 673594.800231934,7190485.98022461 673560.200195312,7190495.69018555 673543.360229492,7190500.82019043 673533.080200195,7190502.09362793 673531.080810547,7190558.27038574 673538.188415527,7190522.16021729 673559.710205078,7190504.22021484 673570.40020752,7190497.42022705 673574.450195312,7190434.59161377 673648.942626953)));PILARZINHO;34;35
MULTIPOLYGON(((7190355.19000244 673743.296630859,7190354.33843994 673746.06640625,7190354.33843994 673749.049194336,7190354.76422119 673752.031982422,7190355.9352417 673754.269226074,7190357.74481201 673755.653991699,7190360.1932373 673756.293212891,7190361.42523193 673756.276428223,7190312.74023438 673785.410217285,7190306.82019043 673785.020202637,7190299.23022461 673784.240234375,7190412.2802124 673652.350219727,7190420.69018555 673665.920227051,7190399.98223877 673690.924987793,7190370.73199463 673725.932617188,7190355.19000244 673743.296630859)));PILARZINHO;35;36
MULTIPOLYGON(((7190647.61541748 670669.069396973,7190641.82458496 670621.430786133,7190675.37921143 670618.313598633,7190677.67999268 670634.573791504,7190682.32403564 670664.56463623,7190647.61541748 670669.069396973)));null;36;37
MULTIPOLYGON(((7189928.88201904 666904.713195801,7189928.88500977 666904.715820312,7189929.05401611 666904.877990723,7189928.88739014 666904.741821289,7189928.88201904 666904.713195801)));VENETO;37;38
MULTIPOLYGON(((7180497.3302002 668689.370239258,7180459.69018555 668717.100219727,7180458.85021973 668717.160217285,7180458.37023926 668716.700195312,7180458.26019287 668716.310241699,7180458.60021973 668715.470214844,7180471.74023438 668692.390197754,7180475.04022217 668685.790222168,7180476.62023926 668684.15020752,7180479.64019775 668682.440185547,7180480.60021973 668682.190185547,7180484.63018799 668682.420227051,7180497.5802002 668686.640197754,7180498.16021729 668687.120239258,7180498.29022217 668688.240234375,7180497.3302002 668689.370239258)));ALCIDES ALVES BAPTISTA;38;39
MULTIPOLYGON(((7186710.92022705 671080.880187988,7186760.29980469 671085.050231934,7186750.88842773 671093.609802246,7186740.06463623 671104.561035156,7186724.96020508 671122.060241699,7186710.92022705 671080.880187988)));PEDRO DECONTO;39;40
MULTIPOLYGON(((7190283.9642334 674421.251586914,7190312.78918457 674423.229003906,7190313.94519043 674424.736206055,7190298.26678467 674471.043029785,7190281.44763184 674470.502197266,7190285.4274292 674422.950439453,7190283.9642334 674421.251586914)));JOSÉ MARIA BRAGA MUNHOZ DA ROCHA;40;41
MULTIPOLYGON(((7191796.82080078 674646.992614746,7191810.95001221 674635.869995117,7191844.63018799 674646.110229492,7191814.86444092 674669.566589355,7191796.82080078 674646.992614746)));CORONEL BRASÍLIO MARQUES;41;42
MULTIPOLYGON(((7186370.62078857 674079.29083252,7186363.05200195 674046.854003906,7186376.77038574 674043.712036133,7186397.3079834 674039.008422852,7186403.16601562 674064.584594727,7186418.51300049 674060.897827148,7186425.70959473 674092.730224609,7186408.97064209 674086.86541748,7186402.92803955 674085.314208984,7186396.5 674084.972412109,7186391.45800781 674085.612609863,7186373.25561523 674089.416015625,7186370.62078857 674079.29083252)));GENEROSO MARQUES;42;43
