stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
70,104505,Terminal Campina do Siqueira - 303 - Centenário / Campo Comprido,Terminal Campina do Siqueira - Campo Comprido,-25.435723602407,-49.306998364944,,,0,14506,,
270,104905,Terminal Carmo - 030 - Interbairros III,Terminal Carmo - 030 - Interbairros III (Sentido Oficinas).,-25.501341193047,-49.237596834988,,,0,14485,,
276,105606,Terminal Oficinas - 030 - Interbairros III,Terminal Oficinas - 030 - Interbairros III (Sentido Bairro Alto).,-25.451549913966,-49.214917373611,,,0,14481,,
299,105603,Terminal Oficinas - 030 - Interbairros III,Terminal Oficinas - 030 - Interbairros III (Sentido Carmo).,-25.451665262751,-49.215085830689,,,0,14481,,
308,104907,Terminal Carmo - 030 - Interbairros III,Terminal Carmo - 030 - Interbairros III (Sentido Capão Raso).,-25.501310905969,-49.237825154596,,,0,14485,,
568,190836,"R. Dep. José Hoffmann, 80 - Vista Alegre",150 - C. Música / V.Alegre (Ponto Final),-25.4086089,-49.29986,,,0,,,
581,110312,Praça Santos Andrade - 150 - C. da Música / Vista Alegre,Praça Santos Andrade 150 - C.Música / V. Alegre .,-25.428209687138,-49.265846178539,,,0,,,
597,190896,"R. Eng. Agro. Lauro Klas, 106 - Pilarzinho",160 - Jd. Mercês / Guanabara (Ponto Final),-25.398409680381,-49.293254561972,,,0,,,
616,150689,"Rua Rio de Janeiro, 1293 - Água Verde",Ponto Final 160 - Jd. Mercês / Guanabara (Sentido Jd. Mercês),-25.462635199023,-49.277920309193,,,0,,,
662,190600,"Rua São Francisco Xavier, 132 - Pilarzinho",166 - Vila Nori (Ponto Final) 167 - Fredolin Wolf (Sentido Nestor de Castro),-25.389211409326,-49.302757242328,,,0,,,
690,120607,"Rua José Ribeiro de Cristo, 1-119 - Pilarzinho",Ponto de Parada 170 - Bracatinga (Sentido Bracatinga) 188 - Madrugueiro Pilarzinho / Uberaba (Sentido Pilarzinho),-25.382745007551,-49.293668590178,,,0,,,
728,190638,"Rua Tomaz Tessari, 95 - Lamenha Pequena",168 - Raposo Tavares (Ponto Final),-25.357505925976,-49.333239863824,,,0,,,
775,120350,"R. Jorn. Geraldo Russe, 1-79 - Pilarzinho",169 - Jd. Kosmos (Ponto Final),-25.391328615541,-49.294544653373,,,0,,,
