route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
34,1,3603693,Terminal Boa Vista,,1,,1800
34,1,3603694,Abaeté,,0,,1799
34,1,3603695,Terminal Boa Vista,,1,,1800
34,1,3603696,Abaeté,,0,,1799
34,1,3603697,Terminal Boa Vista,,1,,1800
34,1,3603698,Abaeté,,0,,1799
34,1,3603699,Terminal Boa Vista,,1,,1800
34,1,3603700,Abaeté,,0,,1799
34,1,3603701,Terminal Boa Vista,,1,,1800
34,1,3603702,Abaeté,,0,,1799
34,1,3603704,Terminal Boa Vista,,1,,1800
34,1,3603705,Abaeté,,0,,1799
34,1,3603706,Terminal Boa Vista,,1,,1800
34,1,3603707,Abaeté,,0,,1799
34,1,3603708,Terminal Boa Vista,,1,,1800
34,1,3603709,Abaeté,,0,,1799
34,1,3603710,Terminal Boa Vista,,1,,1800
34,1,3603711,Abaeté,,0,,1799
34,1,3603712,Terminal Boa Vista,,1,,1800
34,1,3603713,Abaeté,,0,,1799
34,1,3603714,Terminal Boa Vista,,1,,1800
34,1,3603715,Abaeté,,0,,1799
34,1,3603716,Terminal Boa Vista,,1,,1800
34,1,3603717,Abaeté,,0,,1799
34,1,3603718,Terminal Boa Vista,,1,,1800
34,1,3603719,Abaeté,,0,,1799
34,1,3603720,Terminal Boa Vista,,1,,1800
34,1,3603721,Abaeté,,0,,1799
34,1,3603722,Terminal Boa Vista,,1,,1800
34,1,3603723,Abaeté,,0,,1799
34,1,3603724,Terminal Boa Vista,,1,,1800
34,1,3603725,Abaeté,,0,,1799
34,1,3603726,Terminal Boa Vista,,1,,1800
34,1,3603727,Abaeté,,0,,1799
34,1,3603728,Terminal Boa Vista,,1,,1800
34,1,3603729,Abaeté,,0,,1799
34,1,3603730,Terminal Boa Vista,,1,,1800
34,1,3603731,Abaeté,,0,,1799
34,1,3603732,Terminal Boa Vista,,1,,1800
34,1,3603733,Abaeté,,0,,1799
34,1,3603734,Terminal Boa Vista,,1,,1800
34,1,3603735,Abaeté,,0,,1799
34,1,3603736,Terminal Boa Vista,,1,,1800
34,1,3603737,Abaeté,,0,,1799
34,1,3603738,Terminal Boa Vista,,1,,1800
34,1,3603739,Abaeté,,0,,1799
34,1,3603740,Terminal Boa Vista,,1,,1800
34,1,3603741,Abaeté,,0,,1799
34,1,3603742,Terminal Boa Vista,,1,,1800
34,1,3603743,Abaeté,,0,,1799
34,1,3603744,Terminal Boa Vista,,1,,1800
34,1,3603745,Abaeté,,0,,1799
34,1,3603746,Terminal Boa Vista,,1,,1800
34,1,3603747,Abaeté,,0,,1799
34,1,3603748,Terminal Boa Vista,,1,,1800
34,1,3603749,Abaeté,,0,,1799
34,1,3603750,Terminal Boa Vista,,1,,1800
34,1,3603751,Abaeté,,0,,1799
34,1,3603752,Terminal Boa Vista,,1,,1800
34,1,3603753,Abaeté,,0,,1799
34,1,3603754,Terminal Boa Vista,,1,,1800
34,1,3603755,Terminal Boa Vista,,1,,1800
34,1,3603756,Abaeté,,0,,1799
34,1,3603757,Terminal Boa Vista,,1,,1800
34,1,3603758,Abaeté,,0,,1799
34,1,3603759,Terminal Boa Vista,,1,,1800
34,1,3603760,Abaeté,,0,,1799
34,1,3603761,Terminal Boa Vista,,1,,1800
34,1,3603762,Abaeté,,0,,1799
34,1,3603764,Abaeté,,0,,1799
34,1,3603765,Terminal Boa Vista,,1,,1800
34,1,3603766,Abaeté,,0,,1799
34,1,3603767,Terminal Boa Vista,,1,,1800
34,1,3603769,Terminal Boa Vista,,1,,1800
34,1,3603770,Abaeté,,0,,1799
34,1,3603771,Terminal Boa Vista,,1,,1800
34,1,3603772,Abaeté,,0,,1799
34,1,3603773,Terminal Boa Vista,,1,,1800
34,1,3603774,Abaeté,,0,,1799
34,1,3603775,Terminal Boa Vista,,1,,1800
34,1,3603776,Abaeté,,0,,1799
34,1,3603777,Terminal Boa Vista,,1,,1800
34,1,3603778,Abaeté,,0,,1799
34,1,3603779,Terminal Boa Vista,,1,,1800
34,1,3603780,Abaeté,,0,,1799
34,1,3603781,Terminal Boa Vista,,1,,1800
34,1,3603782,Abaeté,,0,,1799
34,1,3603783,Terminal Boa Vista,,1,,1800
34,1,3603784,Abaeté,,0,,1799
34,1,3603785,Terminal Boa Vista,,1,,1800
34,1,3603786,Abaeté,,0,,1799
34,1,3603787,Terminal Boa Vista,,1,,1800
34,1,3603788,Abaeté,,0,,1799
34,1,3603789,Terminal Boa Vista,,1,,1800
34,1,3603790,Abaeté,,0,,1799
34,1,3603791,Terminal Boa Vista,,1,,1800
34,1,3603792,Abaeté,,0,,1799
34,1,3603793,Terminal Boa Vista,,1,,1800
34,1,3603794,Abaeté,,0,,1799
34,1,3603795,Terminal Boa Vista,,1,,1800
34,1,3603796,Abaeté,,0,,1799
34,1,3603797,Terminal Boa Vista,,1,,1800
34,1,3603798,Abaeté,,0,,1799
34,1,3603799,Terminal Boa Vista,,1,,1800
34,1,3603800,Abaeté,,0,,1799
34,1,3603801,Terminal Boa Vista,,1,,1800
34,1,3603802,Abaeté,,0,,1799
34,1,3603803,Terminal Boa Vista,,1,,1800
34,1,3603804,Abaeté,,0,,1799
34,1,3603805,Terminal Boa Vista,,1,,1800
34,1,3603806,Abaeté,,0,,1799
34,1,3603807,Terminal Boa Vista,,1,,1800
34,1,3603808,Abaeté,,0,,1799
34,1,3603809,Terminal Boa Vista,,1,,1800
34,1,3603810,Abaeté,,0,,1799
34,1,3603811,Terminal Boa Vista,,1,,1800
34,1,3603812,Abaeté,,0,,1799
34,1,3603813,Terminal Boa Vista,,1,,1800
34,1,3603814,Abaeté,,0,,1799
34,1,3603815,Terminal Boa Vista,,1,,1800
34,1,3603816,Abaeté,,0,,1799
34,1,3603817,Terminal Boa Vista,,1,,1800
34,1,3603818,Abaeté,,0,,1799
34,1,3603819,Terminal Boa Vista,,1,,1800
34,1,3603820,Abaeté,,0,,1799
34,1,3603821,Terminal Boa Vista,,1,,1800
34,1,3603822,Abaeté,,0,,1799
34,1,3603823,Terminal Boa Vista,,1,,1800
305,1,3603824,Acrópole (Circular),,0,,1864
305,1,3603825,Acrópole (Circular),,0,,1864
305,1,3603826,Acrópole (Circular),,0,,1864
305,1,3603827,Acrópole (Circular),,0,,1864
305,1,3603828,Acrópole (Circular),,0,,1864
305,1,3603829,Acrópole (Circular),,0,,1864
305,1,3603830,Acrópole (Circular),,0,,1864
305,1,3603831,Acrópole (Circular),,0,,1864
305,1,3603832,Acrópole (Circular),,0,,1864
305,1,3603833,Acrópole (Circular),,0,,1864
305,1,3603834,Acrópole (Circular),,0,,1864
305,1,3603835,Acrópole (Circular),,0,,1864
305,1,3603836,Acrópole (Circular),,0,,1864
305,1,3603837,Acrópole (Circular),,0,,1864
305,1,3603838,Acrópole (Circular),,0,,1864
305,1,3603839,Acrópole (Circular),,0,,1864
305,1,3603840,Acrópole (Circular),,0,,1864
305,1,3603841,Acrópole (Circular),,0,,1864
305,1,3603842,Acrópole (Circular),,0,,1864
305,1,3603843,Acrópole (Circular),,0,,1864
305,1,3603844,Acrópole (Circular),,0,,1864
305,1,3603845,Acrópole (Circular),,0,,1864
305,1,3603846,Acrópole (Circular),,0,,1864
305,1,3603847,Acrópole (Circular),,0,,1864
305,1,3603848,Acrópole (Circular),,0,,1864
305,1,3603849,Acrópole (Circular),,0,,1864
305,1,3603850,Acrópole (Circular),,0,,1864
305,1,3603851,Acrópole (Circular),,0,,1864
305,1,3603852,Acrópole (Circular),,0,,1864
305,1,3603853,Acrópole (Circular),,0,,1864
305,1,3603854,Acrópole (Circular),,0,,1864
305,1,3603855,Acrópole (Circular),,0,,1864
305,1,3603856,Acrópole (Circular),,0,,1864
305,1,3603857,Acrópole (Circular),,0,,1864
305,1,3603858,Acrópole (Circular),,0,,1864
305,1,3603859,Acrópole (Circular),,0,,1864
305,1,3603860,Acrópole (Circular),,0,,1864
305,1,3603861,Acrópole (Circular),,0,,1864
305,1,3603862,Acrópole (Circular),,0,,1864
305,1,3603863,Acrópole (Circular),,0,,1864
305,1,3603864,Acrópole (Circular),,0,,1864
305,1,3603865,Acrópole (Circular),,0,,1864
305,1,3603866,Acrópole (Circular),,0,,1864
305,1,3603867,Acrópole (Circular),,0,,1864
305,1,3603868,Acrópole (Circular),,0,,1864
305,1,3603869,Acrópole (Circular),,0,,1864
305,1,3603870,Acrópole (Circular),,0,,1864
305,1,3603871,Acrópole (Circular),,0,,1864
305,1,3603872,Acrópole (Circular),,0,,1864
305,1,3603873,Acrópole (Circular),,0,,1864
305,1,3603874,Acrópole (Circular),,0,,1864
305,1,3603875,Acrópole (Circular),,0,,1864
305,1,3603876,Acrópole (Circular),,0,,1864
305,1,3603877,Acrópole (Circular),,0,,1864
305,1,3603878,Acrópole (Circular),,0,,1864
305,1,3603879,Acrópole (Circular),,0,,1864
305,1,3603880,Acrópole (Circular),,0,,1864
305,1,3603881,Acrópole (Circular),,0,,1864
305,1,3603882,Acrópole (Circular),,0,,1864
305,1,3603883,Acrópole (Circular),,0,,1864
305,1,3603884,Acrópole (Circular),,0,,1864
305,1,3603885,Acrópole (Circular),,0,,1864
305,1,3603886,Acrópole (Circular),,0,,1864
305,1,3603887,Acrópole (Circular),,0,,1864
305,1,3603888,Acrópole (Circular),,0,,1864
305,1,3603889,Acrópole (Circular),,0,,1864
305,1,3603890,Acrópole (Circular),,0,,1864
305,1,3603891,Acrópole (Circular),,0,,1864
305,1,3603892,Acrópole (Circular),,0,,1864
305,1,3603893,Acrópole (Circular),,0,,1864
305,1,3603894,Acrópole (Circular),,0,,1864
305,1,3603895,Acrópole (Circular),,0,,1864
305,1,3603896,Acrópole (Circular),,0,,1864
305,1,3603897,Acrópole (Circular),,0,,1864
305,1,3603898,Acrópole (Circular),,0,,1864
305,1,3603899,Acrópole (Circular),,0,,1864
305,1,3603900,Acrópole (Circular),,0,,1864
305,1,3603901,Acrópole (Circular),,0,,1864
305,1,3603902,Acrópole (Circular),,0,,1864
305,1,3603903,Acrópole (Circular),,0,,1864
305,1,3603904,Acrópole (Circular),,0,,1864
305,1,3603905,Acrópole (Circular),,0,,1864
305,1,3603906,Acrópole (Circular),,0,,1864
305,1,3603907,Acrópole (Circular),,0,,1864
305,1,3603908,Acrópole (Circular),,0,,1864
305,1,3603909,Acrópole (Circular),,0,,1864
305,1,3603910,Acrópole (Circular),,0,,1864
305,1,3603911,Acrópole (Circular),,0,,1864
305,1,3603912,Acrópole (Circular),,0,,1864
305,1,3603913,Acrópole (Circular),,0,,1864
305,1,3603914,Acrópole (Circular),,0,,1864
305,1,3603915,Acrópole (Circular),,0,,1864
305,1,3603916,Acrópole (Circular),,0,,1864
305,1,3603917,Acrópole (Circular),,0,,1864
305,1,3603918,Acrópole (Circular),,0,,1864
305,1,3603919,Acrópole (Circular),,0,,1864
305,1,3603920,Acrópole (Circular),,0,,1864
305,1,3603921,Acrópole (Circular),,0,,1864
305,1,3603922,Acrópole (Circular),,0,,1864
305,1,3603923,Acrópole (Circular),,0,,1864
383,1,3603924,Circular,,0,,1865
383,1,3603925,Circular,,0,,1865
383,1,3603926,Circular,,0,,1865
383,1,3603927,Circular,,0,,1865
383,1,3603928,Circular,,0,,1865
383,1,3603929,Circular,,0,,1865
383,1,3603930,Circular,,0,,1865
383,1,3603931,Circular,,0,,1865
383,1,3603932,Circular,,0,,1865
383,1,3603933,Circular,,0,,1865
383,1,3603934,Circular,,0,,1865
383,1,3603935,Circular,,0,,1865
383,1,3603936,Circular,,0,,1865
383,1,3603937,Circular,,0,,1865
383,1,3603938,Circular,,0,,1865
383,1,3603939,Circular,,0,,1865
383,1,3603940,Circular,,0,,1865
383,1,3603941,Circular,,0,,1865
383,1,3603942,Circular,,0,,1865
383,1,3603943,Circular,,0,,1865
383,1,3603944,Circular,,0,,1865
383,1,3603945,Circular,,0,,1865
383,1,3603946,Circular,,0,,1865
383,1,3603947,Circular,,0,,1865
383,1,3603948,Circular,,0,,1865
383,1,3603949,Circular,,0,,1865
383,1,3603950,Circular,,0,,1865
383,1,3603951,Circular,,0,,1865
383,1,3603952,Circular,,0,,1865
383,1,3603953,Circular,,0,,1865
383,1,3603954,Circular,,0,,1865
383,1,3603955,Circular,,0,,1865
383,1,3603956,Circular,,0,,1865
383,1,3603957,Circular,,0,,1865
383,1,3603958,Circular,,0,,1865
383,1,3603959,Circular,,0,,1865
383,1,3603960,Circular,,0,,1865
383,1,3603961,Circular,,0,,1865
383,1,3603962,Circular,,0,,1865
383,1,3603963,Circular,,0,,1865
383,1,3603964,Circular,,0,,1865
383,1,3603965,Circular,,0,,1865
383,1,3603966,Circular,,0,,1865
383,1,3603967,Circular,,0,,1865
383,1,3603968,Circular,,0,,1865
383,1,3603969,Circular,,0,,1865
383,1,3603970,Circular,,0,,1865
383,1,3603971,Circular,,0,,1865
383,1,3603972,Circular,,0,,1865
383,1,3603973,Circular,,0,,1865
383,1,3603974,Circular,,0,,1865
383,1,3603975,Circular,,0,,1865
383,1,3603976,Circular,,0,,1865
383,1,3603977,Circular,,0,,1865
346,1,3603978,Terminal Santa Cândida,,1,,1811
346,1,3603979,Aliança,,0,,1810
346,1,3603980,Terminal Santa Cândida,,1,,1811
346,1,3603981,Aliança,,0,,1810
346,1,3603982,Terminal Santa Cândida,,1,,1811
346,1,3603983,Aliança,,0,,1810
346,1,3603984,Terminal Santa Cândida,,1,,1811
346,1,3603985,Aliança,,0,,1810
346,1,3603986,Terminal Santa Cândida,,1,,1811
346,1,3603987,Aliança,,0,,1810
346,1,3603988,Terminal Santa Cândida,,1,,1811
346,1,3603989,Aliança,,0,,1810
346,1,3603990,Terminal Santa Cândida,,1,,1811
346,1,3603991,Aliança,,0,,1810
346,1,3603992,Terminal Santa Cândida,,1,,1811
346,1,3603993,Aliança,,0,,1810
346,1,3603994,Terminal Santa Cândida,,1,,1811
346,1,3603995,Aliança,,0,,1810
346,1,3603996,Terminal Santa Cândida,,1,,1811
346,1,3603997,Aliança,,0,,1810
346,1,3603998,Terminal Santa Cândida,,1,,1811
346,1,3603999,Aliança,,0,,1810
346,1,3604000,Terminal Santa Cândida,,1,,1811
346,1,3604001,Aliança,,0,,1810
346,1,3604002,Terminal Santa Cândida,,1,,1811
346,1,3604003,Aliança,,0,,1810
346,1,3604004,Terminal Santa Cândida,,1,,1811
346,1,3604005,Aliança,,0,,1810
346,1,3604006,Terminal Santa Cândida,,1,,1811
346,1,3604007,Aliança,,0,,1810
346,1,3604008,Terminal Santa Cândida,,1,,1811
346,1,3604009,Aliança,,0,,1810
346,1,3604010,Terminal Santa Cândida,,1,,1811
346,1,3604011,Aliança,,0,,1810
346,1,3604012,Terminal Santa Cândida,,1,,1811
346,1,3604013,Aliança,,0,,1810
346,1,3604014,Terminal Santa Cândida,,1,,1811
346,1,3604015,Aliança,,0,,1810
346,1,3604016,Terminal Santa Cândida,,1,,1811
346,1,3604017,Aliança,,0,,1810
346,1,3604018,Terminal Santa Cândida,,1,,1811
346,1,3604019,Aliança,,0,,1810
346,1,3604020,Terminal Santa Cândida,,1,,1811
346,1,3604021,Aliança,,0,,1810
346,1,3604022,Terminal Santa Cândida,,1,,1811
346,1,3604023,Terminal Santa Cândida,,1,,1811
346,1,3604024,Aliança,,0,,1810
346,1,3604025,Terminal Santa Cândida,,1,,1811
346,1,3604026,Aliança,,0,,1810
346,1,3604027,Terminal Santa Cândida,,1,,1811
346,1,3604028,Aliança,,0,,1810
346,1,3604029,Terminal Santa Cândida,,1,,1811
346,1,3604030,Aliança,,0,,1810
346,1,3604032,Aliança,,0,,1810
346,1,3604033,Terminal Santa Cândida,,1,,1811
346,1,3604034,Aliança,,0,,1810
346,1,3604035,Aliança,,0,,1810
346,1,3604036,Terminal Santa Cândida,,1,,1811
346,1,3604037,Aliança,,0,,1810
346,1,3604038,Terminal Santa Cândida,,1,,1811
